"table_name","ordinal_position","column_name","data_type","is_nullable","column_default","constraint_type","foreign_table_name","foreign_column_name"
"assembleia_votos",3,"user_id","uuid","NO",NULL,"",NULL,NULL
"assembleia_votos",4,"voto","character varying","NO",NULL,"",NULL,NULL
"assembleia_votos",5,"registrado_em","timestamp with time zone","YES","now()","",NULL,NULL
"assembleias",1,"id","uuid","NO","gen_random_uuid()","PK","assembleias","id"
"assembleias",2,"tipo","character varying","NO",NULL,"",NULL,NULL
"assembleias",3,"titulo","character varying","NO",NULL,"",NULL,NULL
"assembleias",4,"pauta","text","YES",NULL,"",NULL,NULL
"assembleias",5,"estado","character varying","YES","'CRIADO'::character varying","",NULL,NULL
"assembleias",6,"criado_por","uuid","YES",NULL,"FK","users","id"
"assembleias",7,"aberta_em","timestamp with time zone","YES",NULL,"",NULL,NULL
"assembleias",8,"encerrada_em","timestamp with time zone","YES",NULL,"",NULL,NULL
"assembleias",9,"criado_em","timestamp with time zone","YES","now()","",NULL,NULL
"assembleias",10,"data_hora_inicio","timestamp with time zone","YES",NULL,"",NULL,NULL
"assembleias",11,"data_evento","date","YES",NULL,"",NULL,NULL
"assembleias",12,"hora_primeira_chamada","time without time zone","YES",NULL,"",NULL,NULL
"assembleias",13,"hora_segunda_chamada","time without time zone","YES",NULL,"",NULL,NULL
"assembleias",14,"edital_url","text","YES",NULL,"",NULL,NULL
"assembleias",15,"edital_public_id","text","YES",NULL,"",NULL,NULL
"assembleias",16,"edital_resource_type","text","YES",NULL,"",NULL,NULL
"assembleias",17,"edital_type","text","YES",NULL,"",NULL,NULL
"assembleias",18,"edital_format","text","YES",NULL,"",NULL,NULL
"assembleias",19,"edital_drive_file_id","text","YES",NULL,"",NULL,NULL
"assembleias",20,"suspensao_motivo","text","YES",NULL,"",NULL,NULL
"assembleias",21,"data_hora_retorno","timestamp with time zone","YES",NULL,"",NULL,NULL
"auth_sessions",1,"id","uuid","NO","gen_random_uuid()","PK","auth_sessions","id"
"auth_sessions",2,"user_id","uuid","NO",NULL,"FK","users","id"
"auth_sessions",3,"token_hash","text","NO",NULL,"",NULL,NULL
"auth_sessions",4,"device_id","text","YES",NULL,"",NULL,NULL
"auth_sessions",5,"created_at","timestamp with time zone","YES","now()","",NULL,NULL
"auth_sessions",6,"expires_at","timestamp with time zone","NO",NULL,"",NULL,NULL
"auth_sessions",7,"revoked_at","timestamp with time zone","YES",NULL,"",NULL,NULL
"auth_sessions",8,"last_seen_at","timestamp with time zone","YES","now()","",NULL,NULL
"content_blocks",1,"id","uuid","NO","gen_random_uuid()","PK","content_blocks","id"
"content_blocks",2,"page","character varying","NO",NULL,"",NULL,NULL
"content_blocks",3,"slot","character varying","NO",NULL,"",NULL,NULL
"content_blocks",4,"title","character varying","YES",NULL,"",NULL,NULL
"content_blocks",5,"body","text","YES",NULL,"",NULL,NULL
"content_blocks",6,"media_type","character varying","YES","'image'::character varying","",NULL,NULL
"content_blocks",7,"media_url","text","YES",NULL,"",NULL,NULL
"content_blocks",8,"link_url","text","YES",NULL,"",NULL,NULL
"content_blocks",9,"link_text","character varying","YES",NULL,"",NULL,NULL
"content_blocks",10,"is_active","boolean","YES","true","",NULL,NULL
"content_blocks",11,"ordenacao","integer","YES","0","",NULL,NULL
